startingPoint
**********************************************************************
		Starting computation		
		25/12/2024 10:50:53		
**********************************************************************

# Inexact Lanczos with 1 guess vectors

target              1763.08 :: target excitation   
L                        10 :: Krylov space        
maxit                    20 :: Maximum Lanczos iterations
econv                 1e-06 :: Eigenvalue convergence
checkFitTol           0.001 :: Checkfit tolerance  
pick       get_pick_function_close_to_sigma.<locals>.pick
solver              gcrotmk :: Linear solver       
ltol1                  0.01 :: Site tolerance:Linear solver
maxIter                  10 :: Iterative solver maximum iterations
lsweep                    5 :: Number of DMRG sweeps: Linear solver
ltol2                  0.05 :: global tolerance:Linear solver
maxD                     10 :: Maximum bond dimension:Linear solver
ftol                  1e-09 :: Fitting Tolerance   
fsweep                 1000 :: Number of sweeps:fitting
maxD                     10 :: Maximum bond dimension:Fitting
Phase                     1 :: Stage of phase calculation

  it      i   nCum       target      EvalueBlock1        residual   time(seconds)
   2      9     27      1763.08   1788.9901001216      2.6202e-03         1503.26
   3      1     28      1763.08   1709.8200333489      2.6202e-03         1576.13
   3      2     29      1763.08   1771.6948125031      5.3299e-03         1640.64
   3      3     30      1763.08   1743.5364534528      2.4314e-03         1700.45
   3      4     31      1763.08   1805.9750991371      5.3626e-03         1759.36
   3      5     32      1763.08   1771.1725439737      2.9980e-03         1818.26
   3      6     33      1763.08   1755.9471007455      1.3133e-03         1867.72
   3      7     34      1763.08   1777.3605727113      1.8436e-03         1907.43
   3      8     35      1763.08   1764.0297170266      1.1491e-03         1964.37
   3      9     36      1763.08   1728.5277590592      3.0695e-03         2015.68
   4      1     37      1763.08   1831.5084711545      3.0695e-03         2118.70
   4      2     38      1763.08   1806.6522046530      2.1347e-03         2157.47
   4      3     39      1763.08   1819.1716182170      1.0740e-03         2211.22
   4      4     40      1763.08   1819.0277210680      1.2345e-05         2258.82
   4      5     41      1763.08   1801.2249639092      1.5296e-03         2311.13
   4      6     42      1763.08   1758.7664013403      3.6614e-03         2369.06
   4      7     43      1763.08   1804.4880732410      3.9273e-03         2428.53
   4      8     44      1763.08   1803.9108008591      4.9588e-05         2485.17
   4      9     45      1763.08   1747.4588809577      4.8729e-03         2540.12
   5      1     46      1763.08   1847.2543605902      4.8729e-03         2615.90
   5      2     47      1763.08   1822.7868783958      2.0984e-03         2659.28
   5      3     48      1763.08   1790.7007591665      2.7594e-03         2715.65
   5      4     49      1763.08   1822.5719877498      2.7334e-03         2779.18
   5      5     50      1763.08   1814.7141944372      6.7437e-04         2832.33
   5      6     51      1763.08   1714.7479635487      8.6535e-03         2886.72
   5      7     52      1763.08   1807.1392060349      7.9343e-03         2951.04
   5      8     53      1763.08   1764.2054478761      3.7007e-03         3013.31
   5      9     54      1763.08   1805.6195456380      3.5570e-03         3064.77
   6      1     55      1763.08   1717.9202999701      3.5570e-03         3120.29
   6      2     56      1763.08   1862.3786598209      1.2347e-02         3160.59
   6      3     57      1763.08   1824.4115475748      3.2557e-03         3214.32
   6      4     58      1763.08   1757.1816789054      5.7984e-03         3257.98
   6      5     59      1763.08   1820.3291618398      5.4168e-03         3297.34
   6      6     60      1763.08   1730.6989918493      7.7480e-03         3346.39
   6      7     61      1763.08   1820.0365739680      7.6636e-03         3403.10
   6      8     62      1763.08   1754.8337374167      5.6247e-03         3464.94
   6      9     63      1763.08   1820.0825892930      5.5972e-03         3508.92
   7      1     64      1763.08   1787.8239037356      5.5972e-03         3545.70
   7      2     65      1763.08   1818.6954299139      2.6485e-03         3581.82
   7      3     66      1763.08   1818.4169885315      2.3889e-05         3627.60
   7      4     67      1763.08   1774.2834239314      3.8008e-03         3669.59
   7      5     68      1763.08   1818.3819863692      3.7834e-03         3715.13
   7      6     69      1763.08   1816.7559984235      1.3952e-04         3773.82
   7      7     70      1763.08   1732.4474030938      7.2869e-03         3823.92
   7      8     71      1763.08   1817.8896628176      7.3308e-03         3868.93
   7      9     72      1763.08   1817.8552752187      2.9504e-06         3928.51
   8      1     73      1763.08   1817.6598315767      2.9504e-06         3972.46
   8      2     74      1763.08   1766.9456744467      4.3703e-03         4013.92
   8      3     75      1763.08   1709.8724894989      4.9426e-03         4063.81
   8      4     76      1763.08   1810.6709261583      8.6537e-03         4105.17
   8      5     77      1763.08   1804.8067867993      5.0370e-04         4150.19
   8      6     78      1763.08   1716.6096750904      7.6335e-03         4201.28
   8      7     79      1763.08   1809.0862347793      7.9403e-03         4252.05
   8      8     80      1763.08   1799.2876817356      8.4204e-04         4297.08
   8      9     81      1763.08   1734.8975960012      5.5642e-03         4346.61
   9      1     82      1763.08   1899.1700390592      5.5642e-03         4408.12
   9      2     83      1763.08   1810.8023787221      7.5864e-03         4450.22
   9      3     84      1763.08   1825.3812276742      1.2500e-03         4489.08
   9      4     85      1763.08   1820.3266473522      4.3358e-04         4536.21
   9      5     86      1763.08   1820.6619079415      2.8758e-05         4587.52
   9      6     87      1763.08   1820.6502697431      9.9830e-07         4634.76
endingPoint

**********************************************************************
		End of computation		
		25/12/2024 12:09:40		
**********************************************************************


