 Index           refE        overlap  overlap-squared            Total
   481   -3151.785410        -0.0002           0.0000           0.9293
   482   -3151.505073        -0.0041           0.0000           0.9293
   483   -3151.239709         0.0014           0.0000           0.9293
   484   -3150.945965        -0.0001           0.0000           0.9293
   485   -3150.362429         0.0001           0.0000           0.9293
   486   -3150.299739         0.0016           0.0000           0.9293
   487   -3150.188854        -0.0002           0.0000           0.9293
   488   -3150.008957         0.0001           0.0000           0.9293
   489   -3149.858919         0.0001           0.0000           0.9293
   490   -3149.830209        -0.0001           0.0000           0.9293
   491   -3149.628859         0.0000           0.0000           0.9293
   492   -3149.443530         0.0083           0.0001           0.9294
   493   -3149.405192         0.0023           0.0000           0.9294
   494   -3149.111252        -0.0003           0.0000           0.9294
   495   -3148.974863         0.0002           0.0000           0.9294
   496   -3148.870123        -0.0004           0.0000           0.9294
   497   -3148.826916         0.0001           0.0000           0.9294
   498   -3148.639624         0.0006           0.0000           0.9294
   499   -3148.463357        -0.0008           0.0000           0.9294
   500   -3148.242445        -0.0000           0.0000           0.9294
   501   -3148.134308        -0.0000           0.0000           0.9294
   502   -3148.097779        -0.0002           0.0000           0.9294
   503   -3147.917354        -0.0029           0.0000           0.9294
   504   -3147.777496        -0.0005           0.0000           0.9294
   505   -3147.430417        -0.0013           0.0000           0.9294
   506   -3147.392763        -0.0001           0.0000           0.9294
   507   -3147.155407         0.0007           0.0000           0.9294
   508   -3147.015264        -0.0002           0.0000           0.9294
   509   -3146.777668        -0.0002           0.0000           0.9294
   510   -3146.757486        -0.0010           0.0000           0.9294
   511   -3146.579152         0.0003           0.0000           0.9294
   512   -3146.399515        -0.0009           0.0000           0.9294
   513   -3146.313107        -0.0000           0.0000           0.9294
   514   -3146.197935         0.0003           0.0000           0.9294
   515   -3146.104939         0.0006           0.0000           0.9294
   516   -3146.018844        -0.0004           0.0000           0.9294
   517   -3146.009441        -0.0000           0.0000           0.9294
   518   -3145.902735         0.0013           0.0000           0.9294
   519   -3145.390526        -0.0009           0.0000           0.9294
   520   -3145.350538         0.0007           0.0000           0.9294
   521   -3145.094211        -0.0000           0.0000           0.9294
   522   -3144.928076        -0.0017           0.0000           0.9294
   523   -3144.851455        -0.0007           0.0000           0.9294
   524   -3144.817413         0.0031           0.0000           0.9294
   525   -3144.770548        -0.0004           0.0000           0.9294
   526   -3144.647436         0.0002           0.0000           0.9294
   527   -3144.420301         0.0000           0.0000           0.9294
   528   -3144.393032        -0.0002           0.0000           0.9294
   529   -3144.357149         0.0003           0.0000           0.9294
   530   -3144.040079         0.0002           0.0000           0.9294
   531   -3143.986778        -0.0001           0.0000           0.9294
   532   -3143.616550        -0.0000           0.0000           0.9294
   533   -3143.399026        -0.0001           0.0000           0.9294
   534   -3142.697820         0.0000           0.0000           0.9294
   535   -3142.559691         0.0003           0.0000           0.9294
   536   -3142.483542        -0.0003           0.0000           0.9294
   537   -3142.344777        -0.0002           0.0000           0.9294
   538   -3142.155099         0.0001           0.0000           0.9294
   539   -3141.980072         0.0002           0.0000           0.9294
   540   -3141.971375         0.0001           0.0000           0.9294
   541   -3141.950228         0.0000           0.0000           0.9294
   542   -3141.926921         0.0012           0.0000           0.9294
   543   -3141.874207         0.0000           0.0000           0.9294
   544   -3141.863921        -0.0004           0.0000           0.9294
   545   -3141.777814         0.0001           0.0000           0.9294
